method,budget_iter,loss_median,loss_iqr,loss_mean,loss_std,n
D-LBFGS,50,51.24469566345215,"[43.1, 114.1]",77.02980747222901,48.01211150336232,10
GD,50,235.2926254272461,"[234.7, 235.8]",235.29460601806642,1.3130223880531238,10
L-BFGS,50,175.89446258544922,"[151, 186.2]",152.35543670654297,54.130367693078554,10
PGD (Diag GN precond),50,47.59930992126465,"[41.68, 55.37]",74.05752258300781,60.59292846457237,10
D-LBFGS,100,16.153274536132812,"[6.212, 26.67]",22.003836822509765,22.704939410209356,10
GD,100,225.3874053955078,"[224, 225.5]",225.10895080566405,1.591467596567093,10
L-BFGS,100,31.12646770477295,"[27.42, 37.81]",46.20216827392578,34.88055313806974,10
PGD (Diag GN precond),100,32.966543197631836,"[29.73, 35.98]",59.23103713989258,60.73100939270637,10
D-LBFGS,200,3.4406598806381226,"[3.136, 10.31]",9.255998611450195,12.067810502438517,10
GD,200,208.9788589477539,"[206, 213.4]",196.97655334472657,42.520301777685255,10
L-BFGS,200,18.451562881469727,"[8.507, 20.18]",19.11810646057129,17.295608576245517,10
PGD (Diag GN precond),200,21.00959300994873,"[17.52, 26.73]",48.955393600463864,61.34839727952491,10
D-LBFGS,400,2.0928688049316406,"[2.033, 6.31]",5.626010584831238,7.642494807465892,10
GD,400,63.686079025268555,"[46.91, 169.3]",100.26513214111328,68.16324785156704,10
L-BFGS,400,4.521797299385071,"[3.246, 8.839]",8.318896698951722,9.738951758169346,10
PGD (Diag GN precond),400,12.959999084472656,"[11.64, 16.13]",39.63664932250977,58.26388648840293,10
